geoid,pct_bachelor_or_greater,pct_white,pct_black,pct_hispanic,pct_asian,pct_minority,median_household_income,median_home_value
06037670416,0.761344723000284,0.5165498912780865,0.08106378655527936,0.037207054844165255,0.37820892931820727,0.4834501087219135,0.36564766054814346,0.6276883138810916
06037670500,0.7966721104761781,0.7236263736263736,0.008069336521219368,0.0521978021978022,0.20581289799062014,0.2763736263736264,0.8589136396520686,1.0
06037670602,0.7829925925718292,0.607133456172677,0.053080473720787565,0.05132929718346933,0.23781609085587044,0.392866543827323,0.5318151992866397,0.5995476386455892
06037670701,0.5688812516259042,0.4904485637469931,0.02445807107464537,0.24182821565020518,0.21866139806497187,0.5095514362530069,0.3723690630415398,0.3280906250345477
06037670702,0.6235895258934174,0.6889632107023411,0.002728761142441332,0.14771460423634336,0.10803359271553209,0.3110367892976589,0.6516059020475462,0.5450753315825813
06037700101,0.6678577750790813,0.7293352092859655,0.03755093991408098,0.14333450580372845,0.08396923343768171,0.2706647907140345,0.12436697679896362,0.4703517885911673
06037700102,0.46620437720151736,0.7034333603676669,0.07451974467825184,0.173830765071641,0.02085758049142937,0.2965666396323331,0.04167437791274796,0.19768874604146125
06037700200,0.8209094873837198,0.7923360353721445,0.013653055749977647,0.11230655858511422,0.039221687389266055,0.20766396462785552,0.17298147618486803,0.27673389272975607
06037700300,0.759186457764826,0.8082408874801903,0.050925342651963745,0.0926219404824793,0.035046713833390516,0.19175911251980982,0.273651092753672,0.2666836515742195
06037700400,0.7679866202607599,0.7497181510710259,0.05073280721533258,0.12570462232243518,0.041389532857447224,0.2502818489289741,0.25637649948685165,0.4080402934268408
06037700501,0.6405649276497497,0.6443653014500127,0.07730633767212448,0.1930806410582549,0.0537598352557843,0.3556346985499873,0.24565506334438147,0.3686935993029153
06037700502,0.6980870744111697,0.6990543735224586,0.040861746639366155,0.12364066193853428,0.08643836710782093,0.3009456264775414,0.18482595016572168,0.27527660776220325
06037700600,0.6881113989740265,0.8587434973989596,0.00881524157780267,0.08303321328531413,0.04474380490619276,0.1412565026010404,0.959436041522957,1.0
